filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_25600_26624.png,"[8, 1, 16]",[-0.69332045 -0.88299488 -1.18015385]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_12288_13312.png,"[8, 1, 16]",[-0.68757507 -0.94276318 -1.18893404]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_30720_31744.png,"[8, 1, 12]",[-0.70495063 -0.92839828 -1.21052468]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_27648_28672.png,"[8, 1, 12]",[-0.69658055 -0.95396133 -1.19477765]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_24576_25600.png,"[8, 1, 12]",[-0.70084349 -0.91808597 -1.1865332 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_10240_11264.png,"[8, 1, 16]",[-0.706509   -0.95341589 -1.18935797]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_14336_15360.png,"[8, 1, 12]",[-0.67275369 -0.99632405 -1.17791249]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_14336_15360.png,"[8, 1, 12]",[-0.69934138 -0.99397302 -1.19701779]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_19456_20480.png,"[8, 1, 16]",[-0.66606338 -0.94835458 -1.19704011]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_9216_10240.png,"[8, 1, 16]",[-0.68969892 -0.94916693 -1.14319125]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_2048_3072.png,"[8, 1, 16]",[-0.6796369  -0.99454615 -1.1558167 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_14336_15360.png,"[8, 1, 16]",[-0.69702175 -1.00316817 -1.19328795]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_6144_7168.png,"[8, 1, 16]",[-0.70035539 -0.98002576 -1.1619912 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_8192_9216.png,"[8, 1, 12]",[-0.68156862 -0.97502877 -1.1393191 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_10240_11264.png,"[8, 1, 16]",[-0.6572449  -0.94557872 -1.1453647 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_11264_12288.png,"[8, 1, 16]",[-0.69811009 -0.98450696 -1.15768875]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_11264_12288.png,"[8, 1, 12]",[-0.65137928 -0.96078047 -1.17735381]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_6144_7168.png,"[8, 1, 16]",[-0.7073942  -0.95139522 -1.16308922]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_30720_31744.png,"[8, 1, 16]",[-0.67488176 -0.93298897 -1.20783248]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_4096_5120.png,"[8, 1, 16]",[-0.71700725 -0.95509555 -1.13260104]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_8192_9216.png,"[8, 1, 16]",[-0.64580444 -0.95251915 -1.16510287]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_13312_14336.png,"[8, 1, 16]",[-0.68245911 -0.9785504  -1.16218392]
