filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_25600_26624.png,"[8, 1, 16]",[-0.69330903 -0.88298245 -1.18014651]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_12288_13312.png,"[8, 1, 16]",[-0.68756455 -0.94275252 -1.18893172]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_30720_31744.png,"[8, 1, 12]",[-0.70494025 -0.92839115 -1.21060903]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_27648_28672.png,"[8, 1, 12]",[-0.69657347 -0.95395341 -1.19485828]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_24576_25600.png,"[8, 1, 12]",[-0.70083377 -0.91807495 -1.18661427]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_10240_11264.png,"[8, 1, 16]",[-0.7065024  -0.95339826 -1.18934793]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_14336_15360.png,"[8, 1, 12]",[-0.67274902 -0.99631616 -1.17799779]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_14336_15360.png,"[8, 1, 12]",[-0.69933617 -0.99395995 -1.1971071 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_19456_20480.png,"[8, 1, 16]",[-0.66605311 -0.94834664 -1.19701995]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_9216_10240.png,"[8, 1, 16]",[-0.68969264 -0.94915572 -1.14318003]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_2048_3072.png,"[8, 1, 16]",[-0.67962998 -0.99453614 -1.15580582]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_14336_15360.png,"[8, 1, 16]",[-0.69701092 -1.00315786 -1.19327599]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_6144_7168.png,"[8, 1, 16]",[-0.70034786 -0.98001485 -1.16198419]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_8192_9216.png,"[8, 1, 12]",[-0.68156003 -0.97501852 -1.1394009 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_10240_11264.png,"[8, 1, 16]",[-0.65724021 -0.94557678 -1.1453492 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_11264_12288.png,"[8, 1, 16]",[-0.69810198 -0.9845     -1.15767697]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_11264_12288.png,"[8, 1, 12]",[-0.65137489 -0.96076899 -1.17743745]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_6144_7168.png,"[8, 1, 16]",[-0.70738568 -0.95138593 -1.16307978]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_30720_31744.png,"[8, 1, 16]",[-0.67487361 -0.93297947 -1.20782224]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_4096_5120.png,"[8, 1, 16]",[-0.71699796 -0.95507839 -1.13258789]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_8192_9216.png,"[8, 1, 16]",[-0.64579728 -0.95251318 -1.16508574]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_13312_14336.png,"[8, 1, 16]",[-0.68245202 -0.9785448  -1.16217465]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_20480_21504.png,"[8, 1, 16]",[-0.67565072 -0.9144986  -1.19983471]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_17408_18432.png,"[8, 1, 12]",[-0.65549706 -0.943222   -1.17193996]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_21504_22528.png,"[8, 1, 16]",[-0.70258997 -0.97238505 -1.18354007]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_24576_25600.png,"[8, 1, 16]",[-0.71437259 -0.89600734 -1.19543252]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_21504_22528.png,"[8, 1, 12]",[-0.71554755 -0.97890549 -1.2046134 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_11264_12288.png,"[8, 1, 16]",[-0.71104268 -0.9893539  -1.16796441]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_16384_17408.png,"[8, 1, 12]",[-0.71833903 -0.94209632 -1.19462896]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_22528_23552.png,"[8, 1, 16]",[-0.69111276 -0.93375227 -1.19291405]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_12288_13312.png,"[8, 1, 12]",[-0.68050229 -0.95494297 -1.17189926]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_20480_21504.png,"[8, 1, 12]",[-0.72069782 -0.97851474 -1.18001795]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_27648_28672.png,"[8, 1, 16]",[-0.63863081 -0.90150228 -1.18681757]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_23552_24576.png,"[8, 1, 16]",[-0.69799331 -0.9391811  -1.18749723]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_23552_24576.png,"[8, 1, 16]",[-0.67240909 -0.96925456 -1.20647899]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_29696_30720.png,"[8, 1, 16]",[-0.64517881 -0.95687466 -1.18786604]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_8192_9216.png,"[8, 1, 16]",[-0.64540594 -0.97600653 -1.14405337]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_20480_21504.png,"[8, 1, 12]",[-0.67202716 -0.96771689 -1.19620687]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_18432_19456.png,"[8, 1, 12]",[-0.64993887 -0.96011024 -1.19477108]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_14336_15360.png,"[8, 1, 12]",[-0.65306216 -0.95462303 -1.16954399]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_23552_24576.png,"[8, 1, 16]",[-0.71544395 -0.9196654  -1.17848635]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_29696_30720.png,"[8, 1, 16]",[-0.68895646 -0.94314088 -1.20525401]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_15360_16384.png,"[8, 1, 16]",[-0.7276984  -0.96251248 -1.19953127]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_26624_27648.png,"[8, 1, 16]",[-0.67491262 -0.9350181  -1.17786103]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_26624_27648.png,"[8, 1, 16]",[-0.69513376 -0.91300881 -1.18455167]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_14336_15360.png,"[8, 1, 12]",[-0.63180304 -0.92906901 -1.17437357]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_4096_5120.png,"[8, 1, 16]",[-0.70117808 -1.00035393 -1.14892403]
