filename,top_3_labels
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_14336_15360.png,"[('Bridge', 0.25), ('Park', 0.25), ('Commercial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_31744_32768.png,"[('Industrial', 0.5), ('Commercial', 0.3), ('railwayStation', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_25600_26624.png,"[('River', 0.4), ('Mountain', 0.15), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_12288_13312.png,"[('Commercial', 0.5), ('railwayStation', 0.2), ('Viaduct', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_30720_31744.png,"[('railwayStation', 0.35), ('Industrial', 0.3), ('Commercial', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_27648_28672.png,"[('Park', 0.25), ('River', 0.25), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_24576_25600.png,"[('Commercial', 0.4), ('Industrial', 0.4), ('railwayStation', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_10240_11264.png,"[('Commercial', 0.5), ('Forest', 0.15), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_14336_15360.png,"[('Park', 0.45), ('Commercial', 0.25), ('Industrial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_14336_15360.png,"[('Park', 0.45), ('Commercial', 0.35), ('railwayStation', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_19456_20480.png,"[('Beach', 0.4), ('Forest', 0.2), ('Bridge', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_9216_10240.png,"[('Forest', 0.75), ('Mountain', 0.2), ('Industrial', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_2048_3072.png,"[('Forest', 0.55), ('Beach', 0.4), ('Meadow', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_14336_15360.png,"[('Commercial', 0.4), ('Industrial', 0.3), ('Park', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_6144_7168.png,"[('Commercial', 0.35), ('Forest', 0.2), ('Mountain', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_8192_9216.png,"[('Park', 0.45), ('Commercial', 0.35), ('footballField', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_10240_11264.png,"[('Forest', 0.5), ('Beach', 0.3), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_11264_12288.png,"[('Mountain', 0.35), ('Commercial', 0.25), ('Forest', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_11264_12288.png,"[('Park', 0.3), ('Commercial', 0.15), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_6144_7168.png,"[('Forest', 0.4), ('Mountain', 0.25), ('Beach', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_30720_31744.png,"[('Beach', 0.25), ('Bridge', 0.25), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_4096_5120.png,"[('Mountain', 0.95), ('Forest', 0.05), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_8192_9216.png,"[('Beach', 0.45), ('Forest', 0.35), ('Pond', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_13312_14336.png,"[('Commercial', 0.35), ('Forest', 0.25), ('Industrial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_20480_21504.png,"[('Commercial', 0.4), ('Industrial', 0.4), ('Park', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_17408_18432.png,"[('Park', 0.45), ('Commercial', 0.3), ('Industrial', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_21504_22528.png,"[('Commercial', 0.4), ('railwayStation', 0.3), ('Park', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_24576_25600.png,"[('Farmland', 0.6), ('River', 0.2), ('Mountain', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_21504_22528.png,"[('railwayStation', 0.85), ('Industrial', 0.1), ('Commercial', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_11264_12288.png,"[('railwayStation', 0.4), ('Commercial', 0.3), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_16384_17408.png,"[('Commercial', 0.55), ('Industrial', 0.2), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_22528_23552.png,"[('Commercial', 0.35), ('Industrial', 0.3), ('Park', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_12288_13312.png,"[('Commercial', 0.45), ('Industrial', 0.25), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_20480_21504.png,"[('Commercial', 0.7), ('Park', 0.2), ('Industrial', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_27648_28672.png,"[('Bridge', 0.3), ('River', 0.3), ('Farmland', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_23552_24576.png,"[('Commercial', 0.4), ('Industrial', 0.2), ('Farmland', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_23552_24576.png,"[('Beach', 0.55), ('Desert', 0.3), ('Meadow', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_29696_30720.png,"[('Pond', 0.6), ('River', 0.2), ('Mountain', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_8192_9216.png,"[('Forest', 0.3), ('Mountain', 0.2), ('Pond', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_20480_21504.png,"[('Park', 0.35), ('Commercial', 0.2), ('Industrial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_18432_19456.png,"[('Park', 0.4), ('Commercial', 0.2), ('Port', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_14336_15360.png,"[('Bridge', 0.7), ('River', 0.25), ('Commercial', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_23552_24576.png,"[('Viaduct', 0.35), ('Airport', 0.15), ('Commercial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_29696_30720.png,"[('Industrial', 0.4), ('railwayStation', 0.3), ('Commercial', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_15360_16384.png,"[('Commercial', 0.45), ('Industrial', 0.25), ('Airport', 0.15)]"
